N_d	W_d	N_sch	W_sch	N_trns	W_trns
0.0	0.0	1.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0	1.91637823826e-07	6.43715747803e-06
0.0	0.0	1.0	0.0	7.17489681457e-07	3.09115930401e-05
0.0	0.0	1.0	0.0	2.62925928815e-07	1.2237217781e-05
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
364.434996281	156.808623958	1.0	0.0	3.6	1.21883596514
518.406023019	223.891358073	1.0	1.0	3.6	2.9976063429
574.817214836	248.478021327	1.0	1.0	3.6	3.58872639211
518.406023019	223.891358073	1.0	1.0	3.6	3.5468206949
364.434996281	156.808623958	1.0	1.0	3.6	2.863953346
0.0	0.0	0.0	1.0	3.6	1.08493801207
0.0	0.0	0.0	1.0	3.6	7.63452511895e-07
0.0	0.0	0.0	1.0	3.6	6.06917512114e-07
0.0	0.0	0.0	1.0	3.6	0.0
0.0	0.0	0.0	0.787737251367	3.6	0.0
0.0	0.0	0.0	0.0	3.6	0.0
0.0	0.0	0.0	0.0	3.6	1.05215001473e-07
0.0	0.0	1.0	0.0	3.6	1.18688752265e-07
0.0	0.0	1.0	0.0	3.6	6.73687539568e-09
0.0	0.0	1.0	0.0	3.6	0.0
0.0	0.0	1.0	0.0	2.31951771676	0.0
0.0	0.0	1.0	0.0	0.772298251793	1.23097657597e-08
0.0	0.0	1.0	0.0	0.257557991799	2.18330863374e-08
0.0	0.0	1.0	0.0	0.0850151787217	4.76166028884e-09
0.0	0.0	1.0	0.0	0.0295614550008	0.0
0.0	0.0	1.0	0.0	0.0102113552834	0.0
0.0	0.0	1.0	0.0	0.00127208893001	9.43513183856e-10
0.0	0.0	8.72635297355e-14	0.0	0.000953407542597	3.7960999202e-09
0.0	0.0	0.0	0.0	0.000953407542597	1.42629336817e-09
484.014866112	256.578981552	1.0	0.7237743101	3.6	2.48157105814
685.417661589	364.649214968	1.0	1.0	3.6	3.6
759.172786384	404.239826934	1.0	1.0	3.6	3.6
685.417661589	364.649214968	1.0	1.0	3.6	3.6
484.014866112	256.578981552	1.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	1.0	3.6	3.6
0.0	0.0	0.0	0.0	3.6	3.6
0.0	0.0	1.0	0.0	3.6	2.28858152171
0.0	0.0	1.0	0.0	3.6	0.761950907238
0.0	0.0	1.0	0.0	3.6	0.254107181735
0.0	0.0	1.0	0.0	2.34761623859	0.0848672828636
0.0	0.0	1.0	0.0	0.781696469203	0.0285071972902
0.0	0.0	1.0	0.0	0.260692270652	0.00982481743789
0.0	0.0	1.0	0.0	0.0860497468237	0.00122122842618
